description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID
like new,0,105,Used,1,AT&T,Unknown,32,iPad 1,11862
"Item is in great shape. I upgraded to the iPad Air 2 and don&#039;t need the mini any longer, even though ",0,195,Used,0,None,Unknown,16,iPad mini 2,11863
This iPad is working and is tested 100%. It runs great. It is in good condition. Cracked digitizer.,0,219.99,Used,0,None,Unknown,64,iPad 3,11864
,1,100,Used,0,None,Unknown,16,iPad mini,11865
Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,210.99,Manufacturer refurbished,0,None,Black,32,iPad 3,11866
Brand new factory sealed iPad in an OPEN BOX...THE BOX ITSELF IS HEAVILY DISTRESSED(see ,0,514.95,New other (see details),0,None,Gold,64,iPad Air 2,11867
Good Condition! Fully Functional!,0,79.99,Seller refurbished,0,None,Black,32,iPad 1,11868
Clean iPad 4th generation,0,250,Used,0,None,Unknown,16,iPad 4,11869
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,149.99,Used,0,None,Black,16,iPad 3,11870
,1,75,Used,0,None,Unknown,32,iPad 1,11871
Please read details below. Good working condition.  Home button doesn&#039;t feel right (it&#039;s &#034;softer&#034; ,0,145.49,Used,0,None,Unknown,16,iPad 2,11872
This iPad Mini 2 is gently used. The item shows very minor signs of use. Used less than 1 week. ,0,249,Used,1,AT&T,Space Gray,16,iPad mini 2,11873
"Screen is in excellent shape, no visible cracks or scratches.",0,153.95,Seller refurbished,0,None,Black,32,iPad 2,11874
,1,150,Used,1,AT&T,Black,64,iPad 3,11875
"it has two cracks on two corners, check pictures to see",0,274,Used,0,None,Unknown,32,iPad Air,11876
,1,250,Used,1,Unknown,Space Gray,128,iPad mini 2,11877
mint condition,1,250,Used,0,None,White,16,iPad Air,11878
,0,130,Used,0,None,Unknown,16,iPad 2,11879
,0,229.99,Used,1,Verizon,Unknown,32,iPad 3,11880
,1,289,Used,0,None,Space Gray,128,iPad mini 2,11881
"B - Stock. Seller refurbished &amp; in Very Good cosmetic condition. 100% Fully Functional, iCloud ",0,303.99,Seller refurbished,0,None,White,64,iPad 4,11882
,0,279.5,New,1,Verizon,Black,16,iPad mini,11883
Open Box Return (Excellent Physical Condition),0,239.99,New other (see details),0,None,Black,16,iPad 2,11884
,0,80,Used,0,None,Black,32,iPad 1,11885
,0,345,New,0,None,Gold,16,iPad mini 3,11886
"3 of 5. This item is used. The item shows average signs of wear and tear including scuff marks, ",0,239.99,Used,1,AT&T,Unknown,64,iPad 3,11887
,0,269.85,Seller refurbished,0,None,Black,16,iPad Air,11888
,0,280,New,0,None,White,16,Unknown,11889
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,212.99,Seller refurbished,0,None,Black,64,iPad mini,11890
,1,0.01,Seller refurbished,0,None,Unknown,64,iPad 4,11891
great working iPad 2,0,139,Used,0,None,White,16,iPad 2,11892
MINT CONDITION,1,250,Used,0,None,Black,16,iPad Air,11893
Overall Very Good Condition with minor wear on the outer casing and and minor scratches on the ,0,129.95,Used,0,None,Black,32,iPad 2,11894
,0,559,New other (see details),0,None,Gold,64,iPad Air 2,11895
Great condition! No cracks or damage to iPad.,0,499,Used,1,Unknown,Space Gray,16,iPad Air 2,11896
In excellent condition,0,245,Used,0,None,Unknown,16,iPad mini 2,11897
,0,250,Manufacturer refurbished,1,AT&T,Black,32,iPad 3,11898
Device is in AVERAGE used cosmetic condition with heavy scratches and wear.Device is in 100% working ,0,79.94,Used,0,None,Unknown,64,iPad 1,11899
,0,219.85,Seller refurbished,1,Unknown,Black,64,iPad 2,11900
"Very Good Condition. Flawless screen, only blemish is a small scratch in the bottom right-hand ",1,199.99,Used,0,None,White,16,iPad 4,11901
Brand new in sealed retail box.,1,199.99,New other (see details),0,None,Space Gray,64,iPad Air 2,11902
,0,295,Used,Unknown,Unknown,Unknown,Unknown,Unknown,11903
â€œBEST BUY REFURB. Cosmetic condition is 8 of 10.SCREEN IS EXCELLENTâ€ù NOT IN ORIGINAL BOXâ€ùâ€ù,0,359.99,Manufacturer refurbished,0,None,Unknown,128,iPad Air,11904
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,256.24,Seller refurbished,0,None,Space Gray,16,iPad Air,11905
,1,25,Used,1,AT&T,Unknown,16,iPad 1,11906
,0,299.99,Used,1,AT&T,Space Gray,16,iPad Air,11907
In a case since I bought it. One owner lightly used.  No dead pixels. No marks on case or screen. ,0,199.99,Used,0,None,White,32,iPad 2,11908
,0,640,New,Unknown,Unknown,Unknown,Unknown,Unknown,11909
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,145,Used,1,Verizon,White,32,iPad 2,11910
like new,0,170,Used,0,None,Unknown,16,iPad 1,11911
,0,284.99,Used,Unknown,Unknown,Gold,16,iPad mini 3,11912
,1,50,Used,0,None,Black,16,iPad 1,11913
great condition,1,200,Used,0,None,Black,64,iPad 2,11914
Used ipad 3 64gb   Has dings on 3 corners.  Light scratches on glass.,0,235,Used,1,Unknown,Unknown,64,iPad 3,11915
,0,619,New,0,None,Unknown,128,iPad Air 2,11916
,0,369.99,Used,1,Verizon,Space Gray,32,iPad Air,11917
Like NEW!!,1,100,Used,0,None,Unknown,16,iPad mini,11918
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,169,Used,0,None,White,64,iPad 2,11919
Like new,0,219.99,Manufacturer refurbished,0,None,White,16,iPad 3,11920
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,199.69,Seller refurbished,0,None,White,16,iPad 3,11921
Passcode locked. New Screen.  See Photos.,1,69.5,Used,0,None,Black,16,iPad 2,11922
,1,1,New,0,None,White,32,iPad Air,11923
,1,275,Used,Unknown,Unknown,Unknown,64,iPad 3,11924
The volume button is a little touchy but I think you can get this fixed pretty easily. It doesn&#039;t ,1,0.99,Used,0,None,White,16,iPad Air,11925
"&#039;Grade B&#039; Refurbished Product w/ 30 Day Warranty - May Contain Scuffs, Dings, Dents, and/or other ",0,199.99,Manufacturer refurbished,1,AT&T,Black,32,iPad 2,11926
,1,99.99,Used,0,None,Black,16,iPad mini,11927
,0,175,Used,0,None,White,16,iPad mini 3,11928
,0,285,New other (see details),0,None,White,32,iPad mini 2,11929
,1,0.99,Used,0,None,Unknown,16,iPad 2,11930
,0,150,Used,0,None,Unknown,16,iPad 2,11931
,0,329,New,0,None,Black,16,iPad mini 2,11932
,1,180,Used,1,T-Mobile,White,16,iPad mini 2,11933
"This is an Ipad 3 with,100% functional, light sign of wear in the back but no crack , Great ",0,246,Seller refurbished,1,AT&T,Black,64,iPad 3,11934
USED IN MINT CONDITION,0,200,Used,1,AT&T,White,16,iPad 2,11935
,0,285,New,0,None,White,16,iPad mini 2,11936
,1,50,Used,0,None,Black,32,iPad 1,11937
It in excellent condition with no scratches with a anti crack screen protector already on the iPad ,1,230,Used,1,Sprint,Unknown,16,iPad mini 2,11938
Great condition.,0,285,Used,0,None,Unknown,16,iPad 4,11939
,1,175,Used,0,None,White,16,iPad 3,11940
,1,260,Used,1,AT&T,White,32,iPad 4,11941
Used but 90% new looking,1,80,New other (see details),1,Verizon,Unknown,16,iPad 3,11942
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,310,Used,1,Unknown,White,64,iPad 4,11943
New open box. All accessories included. May have minor scratches,1,100,New other (see details),Unknown,Unknown,Unknown,Unknown,Unknown,11944
new digitizer and new charger,1,0.99,Used,0,None,Unknown,16,iPad 2,11945
,1,99.99,Used,0,None,Unknown,16,iPad mini,11946
"Geek Squad certified with apple warranty till April 5, 2016",1,0.99,Seller refurbished,1,AT&T,White,32,iPad mini 2,11947
Please scroll all the way down to the bottom of the page and read the entire page thoroughly BEFORE ,0,239.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,11948
,1,75,Used,0,None,Black,32,iPad 2,11949
,1,120,New,0,None,White,16,Unknown,11950
"This is a B Stock item, meaning the unit is in a good condition.The screen has no visible scratches ",0,269.99,Used,1,Unknown,Black,32,iPad 4,11951
,0,399,Used,0,None,White,16,iPad Air 2,11952
,1,0.45,New,0,None,White,16,iPad mini 3,11953
,0,223,Used,Unknown,Unknown,Unknown,Unknown,iPad mini 2,11954
dent on top as shown in pictures,1,79,Used,0,None,White,16,iPad 2,11955
,1,0.99,Used,0,None,Unknown,16,iPad 2,11956
Works perfectly only upgraded,1,150,Used,1,Unknown,Black,16,Unknown,11957
,0,275,Used,0,None,Unknown,32,iPad 4,11958
"Used but in excellent condition. No dents, no cracks. Factory wiped and no activation lock.",1,99,Used,0,None,Unknown,32,iPad 3,11959
Excellent Condition. Keeped in case. No scratches mars etc.,1,74.5,Used,0,None,Unknown,16,iPad 1,11960
"Great Condtion, a few very light scuffs",1,64.99,Used,0,None,Unknown,16,iPad 1,11961
"iPad looks and works great. Screen is near mint, back and edges will  have some scuffing, scratches, ",0,239.88,Seller refurbished,1,Verizon,Unknown,64,iPad 3,11962
,0,199.99,Used,0,None,Unknown,16,iPad mini,11963
,0,84.99,Used,0,None,Unknown,32,iPad 1,11964
"This is a B Stock item, meaning the unit is in a good condition.The screen has no visible scratches ",0,269.99,Used,1,Unknown,Black,32,iPad 4,11965
Includes tablet and sim card .No cables.No AppleCare. Has light scratches and a dent around the ,1,65,Used,1,AT&T,Space Gray,32,iPad 1,11966
,1,100,Used,0,None,White,16,iPad 2,11967
,1,240,Used,0,None,Space Gray,64,iPad Air,11968
,1,90,Used,1,AT&T,Unknown,64,iPad 1,11969
Excellent used condition. No scratches or blemishes on  the screen or back.,1,100,Used,0,None,Unknown,16,iPad 2,11970
,1,150,Used,1,Verizon,Black,32,iPad 2,11971
,1,89.99,Used,0,None,White,16,iPad 2,11972
"sometimes freezes, but works.",1,0.99,Used,0,None,Unknown,16,iPad 1,11973
,1,0.01,New,0,None,Unknown,16,iPad Air 2,11974
"great condition, significant scratch, does not affect anything on Ipad, works great",1,48.99,Used,0,None,Black,16,iPad 1,11975
,1,225,Seller refurbished,1,Verizon,Space Gray,32,iPad mini 2,11976
This iPad is in decent condition. It has very subtle dents on the back (have to rotate the ipad to ,1,70,Used,0,None,Black,16,iPad 1,11977
,1,194,Used,1,Unknown,Black,32,iPad 2,11978
,1,1,Used,1,AT&T,Black,16,iPad 1,11979
,1,129,New other (see details),1,Verizon,Unknown,16,iPad mini,11980
,1,90,Used,0,None,Black,32,iPad mini,11981
Excellent condition see pictures.,1,80,Used,1,AT&T,Black,64,iPad 1,11982
,1,1,Used,0,None,Unknown,32,iPad 2,11983
,1,139,Used,0,None,White,16,iPad Air 2,11984
,1,0.99,Used,0,None,Unknown,16,iPad 2,11985
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches.,0,179.99,Used,1,Verizon,Unknown,16,iPad mini,11986
,1,100,Used,0,None,White,16,iPad 3,11987
,0,225,Seller refurbished,0,None,White,32,iPad 3,11988
,1,0.99,Used,1,AT&T,Black,16,iPad mini,11989
,1,100,Used,0,None,Unknown,64,iPad mini,11990
,1,50,Used,1,AT&T,Black,16,iPad 1,11991
,1,150,New,1,AT&T,Unknown,16,iPad mini,11992
Like new,1,1,Used,1,Unknown,Unknown,128,iPad 4,11993
,0,419,New,0,None,Unknown,16,iPad Air 2,11994
,1,199,Used,0,None,Black,64,iPad mini,11995
