description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
iPad is in 8.5+ out of 10 cosmetic condition!,0,159.99,Used,0,None,Black,16,iPad 2,0,10001
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,Used,1,Verizon,Unknown,16,iPad 2,1,10002
,0,199.99,Used,0,None,White,16,iPad 4,1,10003
,0,235,New other (see details),0,None,Unknown,16,iPad mini 2,0,10004
"Please feel free to buy. All products have been thoroughly inspected, cleaned and tested to be 100% ",0,199.99,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,10005
,1,175,Used,1,AT&T,Space Gray,32,iPad mini 2,1,10006
,1,100,New,0,None,Space Gray,16,iPad mini,1,10007
,0,329.99,New,0,None,White,16,iPad mini 3,0,10008
,1,0.99,Used,1,Unknown,White,64,iPad 1,1,10009
,1,150,Used,0,None,White,32,iPad 4,1,10010
"good condition, minor wear and tear on body some light scratches on screen. functions great.",0,199.99,Used,0,None,Black,16,iPad 4,1,10011
,0,99.99,Seller refurbished,0,None,White,16,iPad 1,0,10012
GOOD CONDITION..CLEAN ICLOUD..NO LOCKS..CLEAN IMEI..This tablet has been fully tested and works ,1,20,Used,1,AT&T,Black,16,iPad 1,1,10013
,0,75,Used,0,None,Black,16,iPad 1,1,10014
New Digitizer installed. Some scratches on back + small dent on top right and bottom left corners.,0,199.99,Seller refurbished,0,None,White,16,iPad 4,1,10015
,0,344.95,New,0,None,Space Gray,16,iPad Air,0,10016
Great working iPad.  Very minor surface scratches on back as pictured.  Other very light scratching ,0,184.5,Used,0,None,Black,16,iPad 3,1,10017
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,209.98,Seller refurbished,0,None,White,16,iPad mini 2,0,10018
,0,375,Used,0,None,White,16,iPad Air 2,1,10019
,0,95,Used,0,None,Black,32,iPad 1,0,10020
Crack on screen.,0,125,Used,0,None,Unknown,16,iPad 2,1,10021
Great working iPad.  Only light scratching consistent with typical wear as pictured.,0,187.5,Used,0,None,Black,16,iPad 3,0,10022
"FULLY FUNCTIONAL, CLEAN ESN",0,129.99,Used,1,Verizon,Black,16,iPad 2,0,10023
,0,329.99,New,Unknown,Unknown,Space Gray,Unknown,Unknown,0,10024
,0,149,Used,1,T-Mobile,White,64,iPad Air,0,10025
"iPad mini 2 is an open box item, good condition. Does not include original box. Include Genuine ",0,238.8,Used,0,None,Space Gray,16,iPad mini 2,0,10026
FULLY FUNCTIONAL,0,84.99,Seller refurbished,1,AT&T,Unknown,64,iPad 1,1,10027
"Ipad is used, in very good cosmetic condition. Has some very minor scratches on the body from normal ",0,249.99,Used,0,None,Unknown,16,iPad 4,0,10028
â€œâ€œCustomer or Carrier Return. Cosmetic condition is 9.5 of 10.â€ù NOT IN ORIGINAL BOXâ€ù,0,309.99,New other (see details),0,None,White,32,iPad 4,0,10029
Comes with USB Cable and wall adapter.  May have minor dings or scuffs.,0,319.95,Manufacturer refurbished,0,None,Space Gray,32,iPad Air,1,10030
Ipad has been previously used and shows some light signs of use.  Some light scratches on front ,0,185,Used,0,None,Unknown,64,iPad 3,1,10031
"In very good conditions, does show sign of use but mostly had a case on at all times. Still has a ",0,90,Used,0,None,Unknown,16,iPad 1,1,10032
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,299.98,Seller refurbished,0,None,Unknown,32,iPad Air,0,10033
,1,49,New,0,None,Black,16,iPad Air,1,10034
,0,444.99,Used,0,None,Unknown,16,iPad Air 2,0,10035
"Used only 1 month, like new condition, include smart case and all accessories",0,480,Used,0,None,Unknown,64,iPad Air 2,0,10036
Rarely ever used it.,0,225,New other (see details),1,AT&T,Unknown,32,iPad 3,1,10037
,0,79,Used,0,None,Black,32,iPad 1,0,10038
,0,189.85,Seller refurbished,1,Unknown,White,16,iPad 2,0,10039
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,159.99,Used,0,None,Black,16,iPad 3,0,10040
,0,199.99,Used,0,None,Black,16,iPad 3,1,10041
Good condition,0,115,Used,0,None,Unknown,32,iPad 1,0,10042
,0,289.95,New,1,Unknown,Black,64,iPad 1,0,10043
Open Box Units Grade A Condition. Units may contain minor cosmetic imperfections.,0,499.95,New other (see details),0,None,White,64,iPad Air 2,0,10044
Great condition had a new battery installed 3 months ago by my local Apple Store so it works like ,0,199.99,Manufacturer refurbished,1,Verizon,Black,64,iPad 2,1,10045
,0,550,New,0,None,Black,64,iPad Air 2,0,10046
The body has some light scratches and the back has some engraving. There is a ding on the top right ,0,209.99,Used,0,None,White,32,iPad 3,0,10047
Ipad has been previously used and shows some light signs of use.  Some light scratches on front ,0,185,Used,0,None,Unknown,64,iPad 3,1,10048
great shape,1,100,Used,1,Verizon,Unknown,64,iPad 4,1,10049
,1,279.99,Used,1,Verizon,Unknown,32,iPad Air,1,10050
,0,614.99,New,0,None,Unknown,128,iPad Air 2,1,10051
Has been opened but not used...still in box. Does not come with a book or charger,0,259,New other (see details),1,AT&T,Unknown,16,iPad 3,0,10052
