Name,Year,Rated,Runtime,Action,Adventure,Crime,Drama,Thriller,Fantasy,Horror,Sci.Fi,Comedy,Family,Mystery,Romance,Animation,Music,History,Documentary,Wins,Nominations,Production.Budget,Worldwide
Batman,1989,PG-13,126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,18.10332285,20.56741661
Batman Returns,1992,PG-13,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,18.89068439,20.09524085
Batman Forever,1995,PG-13,121,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,20,19.06676035,20.28027492
Batman & Robin,1997,PG-13,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,19.23619988,19.8810267
Batman Begins,2005,PG-13,140,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,19.08454189,19.99874691
The Dark Knight,2008,N/A,152,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,134,106,19.18064669,20.87259423
The Dark Knight Rises,2012,PG-13,165,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,83,19.40167057,20.86902782
28 Days Later...,2002,R,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,25,16.2144614,18.55047987
300,2006,R,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,30,18.17753476,20.12578981
300: Rise of an Empire,2014,R,102,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,18.55375218,19.67507448
AVP: Alien vs. Predator,2004,PG-13,101,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,18.19994944,19.25626094
Bruce Almighty,2003,PG-13,101,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,7,18.52946822,20.31832817
Evan Almighty,2007,PG,96,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,10,19.16793299,19.15885638
Lara Croft: Tomb Raider,2001,PG-13,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,18.94327412,19.81403374
Lara Croft Tomb Raider: The Cradle of Life,2003,PG-13,117,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,18.68889543,19.18810897
The Mask,1994,PG-13,101,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6,18,17.63694925,20.363902
Son of the Mask,2005,PG,94,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,18.50472205,18.12660527
Miss Congeniality,2000,PG-13,109,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,18.01768311,19.57110417
The Blair Witch Project,1999,R,81,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,18,11.49304423,19.82245739
Book of Shadows: Blair Witch 2,2000,R,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,5,16.95527133,18.11292988
"Monsters, Inc.",2001,G,92,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,33,18.94063454,20.52865562
Bean,1997,PG-13,89,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,17.29825714,19.93418525
National Treasure,2004,PG,131,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,18.70621021,19.95184014
Bridget Jones's Diary,2001,R,97,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9,31,17.41721795,19.84000021
Bridget Jones: The Edge of Reason,2004,R,108,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,17.79411245,19.67556302
The Nutty Professor,1996,PG-13,95,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,10,10,18.43461051,20.05861229
Nutty Professor II: The Klumps,2000,PG-13,106,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,12,18.67803273,19.36124915
Cars,2006,G,117,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26,26,18.83979279,20.18782946
Cars 2,2011,G,106,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,18,19.15120479,20.18056059
Charlie's Angels,2000,PG-13,98,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,26,18.77869344,19.82244276
Charlie's Angels: Full Throttle,2003,PG-13,106,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,14,18.9225107,19.6925255
The Pink Panther,2006,PG,93,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,18.43432786,19.12027013
The Pink Panther 2,2009,PG,92,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,18.17070529,18.2522407
Cheaper by the Dozen,2003,PG,98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,7,17.79617151,19.35543189
Peter Pan,1953,Approved,77,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,18.71292226,18.91156827
Return to Never Land,2002,G,72,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,17.16791802,18.87141699
Crank,2006,R,88,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,16.53720907,17.81189755
The Princess Diaries,2001,G,115,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,11,17.45640826,19.30628636
The Princess Diaries 2: Royal Engagement,2004,G,113,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,17.79448477,19.00891135
The Purge,2013,R,85,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,14.90453014,18.29823985
The Purge: Anarchy,2014,R,103,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,16.03959901,18.54832163
The Ring,2002,PG-13,115,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,6,18.04263347,19.69028571
The Da Vinci Code,2006,PG-13,149,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,17,18.88061483,20.68330086
Angels & Demons,2009,PG-13,138,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5,18.97110204,20.146533
Despicable Me,2010,PG,95,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,34,18.12251625,20.18572896
Despicable Me 2,2013,PG,98,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,16,56,18.2021418,20.74948967
Elizabeth,1998,R,124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,36,47,17.73851596,18.74587324
Fantastic Four,2005,PG-13,106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,18.679077,19.87475466
Fantastic 4: Rise of the Silver Surfer,2007,PG,92,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,18.87068205,19.66973955
Sex and the City,2008,R,145,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,11,18.13485379,19.98935604
Sex and the City 2,2010,R,146,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,8,18.46376444,19.52276127
Shanghai Noon,2000,PG-13,110,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,18.2545537,18.84510893
Shanghai Knights,2003,PG-13,114,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,18.0470414,18.61602446
The Flintstones,1994,PG,91,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,6,7,18.33009598,20.3351864
The Flintstones in Viva Rock Vegas,2000,PG,90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,18.66606097,18.33266334
Sherlock Holmes,2009,PG-13,128,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,18.37999273,20.14172948
Sin City,2005,R,124,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,24,34,17.76278663,19.14126187
Silent Hill,2006,R,125,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,17.96432498,18.63325582
Silent Hill: Revelation 3D,2012,R,95,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,6,16.87594353,17.83726108
The Sisterhood of the Traveling Pants,2005,PG,119,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14,17.29278211,17.81190628
The Sisterhood of the Traveling Pants 2,2008,PG-13,117,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,17.25630342,17.75263376
The Smurfs,2011,PG,103,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,7,18.56074097,20.1948703
The Smurfs 2,2013,PG,105,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,18.52532386,19.7222587
Garfield,2004,N/A,80,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,18.01762797,19.40793693
Speed,1994,R,116,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,16,17.90265227,20.36066763
Speed 2: Cruise Control,1997,PG-13,121,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,19.48305943,19.51084521
The SpongeBob SquarePants Movie,2004,PG,87,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9,17.50506104,19.04666107
The SpongeBob Movie: Sponge Out of Water,2015,PG,93,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18.1195754,19.50949508
G.I. Joe: The Rise of Cobra,2009,PG-13,118,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,12,19.0865198,19.63371267
G.I. Joe: Retaliation,2013,PG-13,110,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,18.67819368,19.73955852
Ghost Rider,2007,PG-13,114,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,18.70362769,19.43572629
Ghost Rider: Spirit of Vengeance,2011,PG-13,96,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,17.90479547,18.74880922
Thor,2011,PG-13,115,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,28,18.85578111,19.95289588
Thor: The Dark World,2013,PG-13,112,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,18.94638835,20.27950396
Happy Feet,2006,PG,108,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,17,20,18.65025449,19.99660046
TRON,1982,PG,96,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,17.68657021,18.34986443
TRON: Legacy,2010,PG,125,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,41,18.98687346,19.84269647
Hellboy,2004,PG-13,122,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,12,18.29525946,18.70394148
Hellboy II: The Golden Army,2008,PG-13,120,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,18,18.40311851,19.03806352
The Texas Chainsaw Massacre,2003,R,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,11,16.38616981,18.8083763
The Texas Chainsaw Massacre: The Beginning,2006,R,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16.82486091,17.99897496
The Hills Have Eyes,2006,R,107,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,6,16.76035019,18.2954052
The Hills Have Eyes 2,2007,R,89,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16.71119965,17.62659766
How to Train Your Dragon,2010,PG,98,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,29,51,18.96453971,20.06290704
How to Train Your Dragon 2,2014,PG,102,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,40,18.80050249,20.25172851
Hulk,2003,PG-13,138,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,19.05500001,19.63774756
The Incredible Hulk,2008,PG-13,112,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,18.97110205,19.53424514
Journey to the Center of the Earth,2008,PG,93,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,18.05481109,19.44938422
Journey 2: The Mysterious Island,2012,PG,94,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,18.23034717,19.67580653
The Whole Nine Yards,2000,R,98,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,17.9680836,18.91416021
The Whole Ten Yards,2004,PG-13,98,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17.79448544,17.36967622
21 Jump Street,2012,R,109,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,20,17.5892416,19.15778474
22 Jump Street,2014,N/A,112,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,17.73472529,19.62582884
The Jungle Book 2,2003,G,72,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9,17.13075158,19.04549239
xXx,2002,PG-13,124,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,12,18.42060635,19.79774601
Kick-Ass,2010,R,117,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,54,17.25979253,18.42490914
Kick-Ass 2,2013,R,103,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,17.13812326,17.91344251
Kill Bill: Vol. 1,2003,R,111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,60,17.53598627,19.33300436
Kill Bill: Vol. 2,2004,R,137,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,45,17.50680247,19.13053414
The Mask of Zorro,1998,PG-13,136,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,18,18.93540918,19.90414664
The Legend of Zorro,2005,PG,129,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18.39089743,19.03204977
Kung Fu Panda,2008,PG,92,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,31,18.82800119,20.40895188
Kung Fu Panda 2,2011,PG,91,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,42,18.85640688,20.34659911
Legally Blonde,2001,PG-13,96,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,12,17.08871381,19.15258109
"Legally Blonde 2: Red, White & Blonde",2003,PG-13,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,17.94168181,18.96265156
Legally Blondes,2009,PG,86,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17.08871381,19.15258109
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105,99,18.71464519,20.95229636
The Lord of the Rings: The Two Towers,2002,PG-13,179,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,98,18.69502122,20.98265155
The Lord of the Rings: The Return of the King,2003,PG-13,201,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164,88,18.66240021,21.14012647
Austin Powers: International Man of Mystery,1997,PG-13,89,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,17.21124665,18.62273592
Austin Powers: The Spy Who Shagged Me,1999,PG-13,95,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,29,17.80296238,20.04951204
Austin Powers in Goldmember,2002,PG-13,94,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,19,18.31532037,19.86475695
Madagascar: Escape 2 Africa,2008,PG,89,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9,18.97110173,20.36387564
Madagascar 3: Europe's Most Wanted,2012,PG,93,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,21,18.81416949,20.45339554
Back to the Future,1985,PG,116,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,24,17.60459366,20.6032421
Back to the Future Part II,1989,PG,108,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,6,18.2254734,20.3415783
Back to the Future Part III,1990,PG,118,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,8,18.17844316,19.98889182
The Matrix,1999,R,136,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,39,18.44958953,20.44529869
The Matrix Reloaded,2003,R,138,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,21,19.1456543,20.74454136
The Matrix Revolutions,2003,R,129,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,19.14530576,20.19225814
Men in Black,1997,PG-13,98,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,35,18.90769571,20.78697506
Men in Black II,2002,PG-13,88,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,9,19.11382807,20.26308549
Big Momma's House,2000,PG-13,99,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,17.64841836,19.40604313
Big Momma's House 2,2006,PG-13,99,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,17.74118041,18.98143014
"Big Mommas: Like Father, Like Son",2011,PG-13,107,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,17.33571524,18.28503043
Blade II,2002,R,117,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,7,18.16116992,19.21567572
Blade: Trinity,2004,R,113,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18.27561838,18.96030965
The Bourne Identity,2002,PG-13,119,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,18.26653004,19.5383214
The Bourne Supremacy,2004,PG-13,108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,20,18.42309303,19.77030075
The Bourne Ultimatum,2007,PG-13,115,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,34,18.703628,20.09632035
The Bourne Legacy,2012,PG-13,135,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,18.70852351,19.50113496
Night at the Museum: Battle of the Smithsonian,2009,PG,105,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,18.93282436,19.94589369
Night at the Museum: Secret of the Tomb,2014,PG,98,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18.65969741,19.69623415
Captain America: The First Avenger,2011,PG-13,124,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,40,18.80163531,19.77503464
Captain America: The Winter Soldier,2014,PG-13,136,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,24,18.94770129,20.38385887
Ocean's Eleven,2001,PG-13,116,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,18,18.63072328,20.29891201
Ocean's Twelve,2004,PG-13,125,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,18.79910998,19.99232774
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15,39,19.25953026,20.67997523
The Chronicles of Narnia: Prince Caspian,2008,PG,150,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,19,19.37656731,19.99992503
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,113,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,17,18.89449994,19.88100551
Pitch Black,2000,R,109,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,17.38271413,18.22104631
The Chronicles of Riddick,2004,PG-13,119,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,18.75956542,18.85723414
Riddick,2013,R,119,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,17.50490338,18.45572058
Predator,1987,R,107,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,5,17.27627921,19.15592295
Predators,2010,R,107,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,17.54747311,18.70461456
Rush Hour,1998,PG-13,98,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,8,17.87562464,19.87786955
Rush Hour 2,2001,PG-13,90,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,19,18.69815173,20.04860531
Rush Hour 3,2007,PG-13,91,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,18.94478975,19.55619308
Dumb & Dumber,1994,N/A,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,17.31115152,19.98844077
Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,17.07945891,17.80541752
Dumb and Dumber To,2014,PG-13,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,17.5043899,18.95034965
The Expendables,2010,R,103,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,18.24062048,19.47343725
The Expendables 2,2012,R,103,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,18.48537981,19.60192432
Spider-Man,2002,N/A,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47,19.10665945,20.88357129
Spider-Man 2,2004,PG-13,127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,43,19.40392253,20.7697161
Spider-Man 3,2007,PG-13,139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,19.55610702,20.79534778
The Amazing Spider-Man,2012,PG-13,136,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,29,19.31828911,20.51080171
Star Wars: Episode IV - A New Hope,1977,PG,121,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,26,17.56293734,21.81841852
Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,17.84560351,21.24378722
Star Wars: Episode VI - Return of the Jedi,1983,PG,134,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,18,18.27550783,20.95780605
Star Wars: Episode I - The Phantom Menace,1999,PG,136,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,60,19.0509851,21.24049368
Star Wars: Episode II - Attack of the Clones,2002,PG,142,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,45,18.91711766,20.64823181
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,36,18.80129454,20.81767702
Stuart Little,1999,PG,84,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,13,19.16481471,19.97869918
Stuart Little 2,2002,PG,77,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,18.95959278,19.30764536
The Grudge,2004,PG-13,92,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,8,16.40818999,19.33821568
The Grudge 2,2006,PG-13,102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,17.04803296,18.31090431
The Hangover,2009,R,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,20,17.47732448,20.06934136
The Hangover Part II,2011,R,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,18.22739037,20.21998695
The Hangover Part III,2013,R,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,18.4406467,19.69756212
The Transporter,2002,PG-13,92,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21665588,17.95470658
Transporter 2,2005,PG-13,87,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53964187,18.51852751
Harold & Kumar Go to White Castle,2004,R,88,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,16.30282793,17.28102488
Harold & Kumar Escape from Guantanamo Bay,2008,R,104,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,16.44537413,17.73307032
A Very Harold & Kumar 3D Christmas,2011,R,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.81815675,17.44006828
Hostel,2005,R,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11,15.62091777,18.4415391
Hostel: Part II,2007,R,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16.32553698,17.57604309
I Still Know What You Did Last Summer,1998,R,100,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,7,18.55369043,18.06823541
Iron Man,2008,PG-13,126,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,52,18.90207912,20.33234631
Iron Man 2,2010,PG-13,124,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,38,19.15691164,20.2946378
Iron Man 3,2013,PG-13,130,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,41,19.10423546,20.90877952
Jackass: The Movie,2002,R,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,15.78144906,18.54769057
Jackass Number Two,2006,R,92,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.49464799,18.49045425
Jackass 3D,2010,R,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,16.84680789,18.99674163
Jurassic Park,1993,PG-13,127,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,27,16,18.65371267,21.44707022
